                                                                                                                                                           MINISTERIO DE TRANSPORTES
                                                                                                                                                      LISTADO DE INFRACCIONES POR EMPRESA
================================================================================================================================================================================================================================================================================================================================================
                                                                                                                      EMPRESA                                                                                                                        FECHA INF.       FECHA PAGO                   TOTAL PAGADO                    CANTIDAD
    No.          DNI           NOMBRE                                                    DISTRITO                                                  PLACAS                                                                                           MAS ANTIGUA      MAS RECIENTE        LEVES        GRAVES     MUY GRAVES        DE FALTAS
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     1)        79672079        contreras chang johana cinthia                            Chorrillos                                                P599-629/P282-128/M852-620                                                                       24/09/2020        19/09/2024        214.55       3137.53        570.44            10
     2)        77763722        farfan salazar margot                                     La Molina                                                 P163-421/P482-255/M277-299                                                                       20/02/2020        10/04/2025          0.00       3172.80       8227.75            12
     3)        19568447        vega soria henrry                                         San Juan de Lurigancho                                    M907-605                                                                                         12/02/2021        24/10/2024          0.00        828.23       2934.68             4
     4)        81528434        epiquen avila enrique                                     Jesus Maria                                               G377-489/M832-314/M837-854/P325-587/G650-450                                                     28/01/2020        25/03/2025        390.76       4524.10      30817.88            25
     5)        47844324        vilca lee nestor hugo                                     Comas                                                     P618-120                                                                                         12/01/2020        26/12/2023        220.25        840.79       3969.09             7
     6)        86718074        escalante rojas ines adria                                Jesus Maria                                               G368-136                                                                                         01/10/2020        18/04/2025        220.25       2131.79          0.00             6
     7)        12270502        cueva fuentes cinthia delia                               El Agustino                                               G855-340/G266-362/P246-429/G991-678/G250-663                                                     01/02/2020        06/05/2025        214.55       4567.91       6026.56            22
     8)        48528209        zavaleta coronado felicita eloisa                         Villa Maria del Triunfo                                   G262-654/G958-240/G402-859/P156-716/G400-314                                                     24/07/2020        19/11/2024        795.58       3993.73      12989.69            22
     9)        88167677        prado vera juan                                           San Miguel                                                G264-957/G325-333/P665-969/M366-914/M435-175                                                     22/02/2020        18/12/2024        602.73       9018.70      10697.16            33
    10)        12858682        zarate perez alexander                                    Barranco                                                  M207-572/G520-337/M137-958                                                                       15/09/2020        08/11/2024        220.25       3953.95       3165.22            15
    11)        75348522        lozada forzani delia                                      Independencia                                             G113-951/G841-644/P310-575/G938-356/G744-786                                                     16/06/2020        29/09/2024        778.94       6722.73       7193.72            26
    12)        87495937        morales pasquel karin maribel                             Independencia                                             G329-867                                                                                         06/05/2020        27/04/2023          0.00       1223.82        538.95             4
    13)        81485316        justino martinez enrique                                  Santa Maria del Mar                                       P486-917/M500-707/G156-830/M774-204/G710-594                                                     22/02/2020        07/02/2025          0.00       4419.89       4311.67            17
    14)        81799482        cerna cerna cinthia                                       Pucusana                                                  G605-765/M359-944/G592-689/M561-874/G635-752                                                     15/01/2020        17/07/2024        197.91       4526.69       5042.26            20
    15)        13219606        rodriguez moreno blanca ofelia                            Pueblo Libre                                              P201-291/M312-270                                                                                15/11/2020        17/08/2024          0.00        826.92       5029.33             6
    16)        73818744        fuentes gamarra hugo                                      Pueblo Libre                                              G662-512/G393-114/P251-666/G938-342                                                              29/01/2020        26/01/2025        250.32       5559.61       3672.94            21
    17)        85501710        vizcardo sinche maribel                                   San Borja                                                 M651-665/P532-434                                                                                23/10/2020        31/03/2025        182.63       1516.46       1717.28             8
    18)        12443643        lee serrano rosario                                       Santa Maria del Mar                                       M421-807/G926-575/P235-315/M483-214                                                              09/04/2020        07/06/2024        398.40       4427.68       4597.80            17
    19)        82870470        sedano retamoso elia yolanda                              Rimac                                                     P478-603/P516-487                                                                                09/12/2020        26/10/2024          0.00       1687.82       5636.72             9
    20)        48450395        ramirez astete karina estefania                           Magdalena del Mar                                         P692-666/G328-654/M317-350/P559-672                                                              02/05/2020        11/04/2025        190.27       5544.62      10291.08            24
    21)        79641328        tokeshi guevara jaime                                     Cieneguilla                                               G734-120/M512-863/G437-799                                                                       19/01/2020        15/03/2025          0.00       2910.06       7790.53            13
    22)        89314225        rios durand carlos edilberto                              Cercado de Lima                                           P355-270/G760-721/P152-838/G256-432/M288-737                                                     11/01/2020        18/03/2025       1005.61       3492.61      13401.95            24
    23)        86429854        moscoso laura janet valentina                             Punta Hermosa                                             M580-968/P364-899/M510-956/G374-384/M360-947                                                     01/08/2020        17/12/2024        398.40       3227.59      12373.66            23
    24)        84186239        rivero coronado hector alonso jose                        Lince                                                     P582-282/G872-544                                                                                01/05/2021        11/01/2025          0.00       1593.91       8096.07             8
    25)        80457845        norabuena moya hector                                     Jesus Maria                                               G616-581/P670-603/G874-915/G410-582/M912-415                                                     07/03/2020        02/10/2024        220.25       6835.37       9687.78            27
    26)        90467829        iparraguirre perez nicolas                                Miraflores                                                P985-495/G189-507/P863-768/M844-240/G600-343                                                     04/01/2020        26/02/2025        182.63       5327.85      11257.89            20
    27)        88854166        pinto rojas juvenal francisco                             Jesus Maria                                               P324-421/G411-657/M257-722/G568-563/P131-555                                                     17/02/2020        16/02/2025        250.32       7602.07       1404.82            22
    28)        77367073        jauregui del castillo victor ricardo                      San Juan de Miraflores                                    G974-598/G542-724/M655-400                                                                       18/01/2020        09/10/2024        583.61       5359.16       9804.42            26
    29)        73567806        arca sanchez magali beatriz iris                          Santa Anita                                               M993-637/P426-388/M666-407/G458-550                                                              22/05/2020        28/12/2024        619.37       1889.45      12846.07            14
    30)        89941095        arca larriega lucero yliana                               Comas                                                     P860-616/G226-459/P474-593/G138-788/M708-335                                                     21/03/2020        16/11/2024          0.00       8356.00       9723.38            32
    31)        87282766        suarez chang gloria                                       San Bartolo                                               M440-802                                                                                         14/05/2020        31/12/2023          0.00       1192.59       1175.38             5
    32)        73972114        avila martel jaime manuel                                 San Juan de Lurigancho                                    M862-577/G657-925/M646-319/M655-864/P255-643                                                     08/02/2020        04/05/2025        182.63       4998.23      10070.96            22
    33)        79766395        fuentes escalante patricia elizabeth                      Santa Anita                                               G485-562/P195-859/G763-950                                                                       06/01/2020        07/04/2024        197.91       2464.52       9060.88            14
    34)        74325123        tang moscoso johana                                       La Molina                                                 P905-539/P770-513/G968-856/G214-608/M348-264                                                     18/09/2020        12/12/2023        860.69       3947.40      19980.81            23
    35)        13628871        quiroga hernandez silvana zkenia maria                    Independencia                                             P203-441                                                                                         06/05/2020        28/07/2020          0.00        873.64        523.54             3
    36)        75945248        mejia rodriguez ines valentina                            Punta Hermosa                                             P939-759/G450-448/G721-932                                                                       17/04/2020        01/03/2025          0.00       2800.52      11110.21            13
    37)        80310768        minaya berrocal heli                                      Carabayllo                                                M982-853/G752-478/G893-799/M267-848/M477-146                                                     15/01/2020        27/04/2025        470.57       6334.75      14901.11            30
    38)        47528229        saavedra gonzales wilmer                                  Chorrillos                                                P325-365/M466-711                                                                                23/08/2020        28/02/2025          0.00       2814.55       6681.00            12
    39)        82031355        egusquiza berrocal doris nancy                            Pucusana                                                  P386-900/M599-949                                                                                26/06/2022        28/07/2022          0.00          0.00        592.92             1
================================================================================================================================================================================================================================================================================================================================================
